assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
166096562,54684,Beduka koynayensis,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
166096562,54684,Beduka koynayensis,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
166096562,54684,Beduka koynayensis,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,Resident,Suitable
166098755,58203,Amolops chakrataensis,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
166098755,58203,Amolops chakrataensis,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
166099369,58273,Minervarya keralensis,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
166099369,58273,Minervarya keralensis,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
166099369,58273,Minervarya keralensis,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Resident,Suitable
166099369,58273,Minervarya keralensis,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
166099369,58273,Minervarya keralensis,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
166100666,197660098,Indirana beddomii,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
166100666,197660098,Indirana beddomii,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
166100666,197660098,Indirana beddomii,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
166101287,58312,Walkerana leptodactyla,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
166101287,58312,Walkerana leptodactyla,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
166101476,58314,Walkerana phrynoderma,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),,Resident,Marginal
166101476,58314,Walkerana phrynoderma,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
166101476,58314,Walkerana phrynoderma,4.7,Grassland - Subtropical/Tropical High Altitude,Yes,Resident,Suitable
166102173,58377,Micrixalus elegans,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
166102173,58377,Micrixalus elegans,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
166102173,58377,Micrixalus elegans,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
166102249,58379,Micrixalus gadgili,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
166102249,58379,Micrixalus gadgili,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
166102249,58379,Micrixalus gadgili,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
166102352,58383,Micrixalus phyllophilus,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
